feature,importance_mean,importance_std
survey_year,8.886144610297612e-05,0.00012588555003160523
num_employees,0.0011245263910192316,0.00017228849459399652
annual_revenue_usd_millions,0.0011520539729409215,0.00025180760380524923
company_age,0.00021367092510017708,0.00011836112712502423
years_using_ai,0.25105178692664337,0.0008933091767631757
num_ai_tools_used,-0.0038174292383744554,0.0006728219087113483
ai_projects_active,-0.008910029712778714,0.0005125695040018999
ai_training_hours,-0.027663708292590683,0.0008965901928997419
ai_budget_percentage,-0.02008643436910098,0.0012011010229910654
ai_maturity_score,-0.03491529949399148,0.0008822802779411154
ai_failure_rate,0.004064859254177647,0.0003178368934017245
ai_investment_per_employee,-4.560629761793944e-05,0.00016478061564983036
regulatory_compliance_score,-8.914903487725982e-06,0.00016253862744112924
ai_risk_management_score,-0.0008281969110366457,0.00024364663043328392
remote_work_percentage,-0.0038575860082956065,0.000774495215580106
employee_satisfaction_score,0.0005227735444375566,0.00014892919804276102
task_automation_rate,-0.012066078659533346,0.0006674532951742485
time_saved_per_week,-0.01145885413613122,0.0007730953229460357
productivity_change_percent,-0.01851624035983747,0.000688329076786005
jobs_displaced,-0.0008045514393338523,0.00023110736811694717
jobs_created,-0.0005778007988717527,0.0002301048723368
reskilled_employees,-0.00035756481600617284,0.00015050309618430652
revenue_growth_percent,-0.0011813527690336168,0.00025263816344617
cost_reduction_percent,-0.0014327836071810873,0.00036622830290500356
innovation_score,-0.005742071087575303,0.000413475173363789
customer_satisfaction,-0.0006199110354678202,0.00020948060565291465
quarter_Q1,0.0002580927691274123,7.505678785052718e-05
quarter_Q2,-4.942385977055874e-05,3.91808206999678e-05
quarter_Q3,5.934240117664302e-05,3.2431092413835944e-05
quarter_Q4,2.447990784400685e-05,6.108263023025447e-05
country_Argentina,-1.5212263068516604e-05,1.775391180008666e-05
country_Australia,1.0792435716044934e-05,5.800304248710444e-05
country_Brazil,0.0001281473197433769,2.870971261335389e-05
country_Canada,1.6556488214466056e-05,1.925187951596611e-05
country_Chile,5.795763393545705e-06,4.104488417362994e-06
country_China,-8.09376650335499e-06,1.1230800287895293e-05
country_Colombia,2.0615096580541465e-05,2.4118035787962456e-05
country_Egypt,-2.7792712514629336e-05,2.1213455149161312e-05
country_France,-1.1682999255394991e-05,2.59893066534551e-05
country_Germany,2.59701012920166e-05,1.6392484372674187e-05
country_India,2.760603642992798e-06,1.3388585429518764e-05
country_Indonesia,3.870756476402152e-05,2.4475413482755747e-05
country_Italy,-4.062977797640125e-06,1.681194664486117e-05
country_Japan,5.068692349718962e-05,2.7511459051613695e-05
country_Kenya,1.452724489629335e-06,6.35644997317993e-06
country_Malaysia,2.915561661217166e-06,9.676055993417976e-06
country_Netherlands,3.2955321104499725e-05,2.6531212912455303e-05
country_New Zealand,-1.1812396674041695e-05,3.1867799406807845e-05
country_Nigeria,4.8963788582286526e-05,3.404745489819273e-05
country_Philippines,2.846817593946671e-05,2.60776292889837e-05
country_Poland,-6.856610256337585e-06,2.913216924038926e-05
country_Singapore,-4.732858339375756e-05,3.859748683473575e-05
country_South Africa,0.00010641873055790007,2.5269070311292116e-05
country_South Korea,1.292767337500352e-05,2.558691366690731e-05
country_Spain,2.7277280757080172e-05,2.2302728805511716e-05
country_Sweden,1.3146378935472806e-05,2.0125077482488332e-05
country_Thailand,-3.231942587208122e-05,2.5499493097860288e-05
country_UK,-5.175778196468232e-06,2.0069081266845074e-05
country_USA,-2.7642323141785496e-05,2.314689029315983e-05
country_Vietnam,-5.5504293557569655e-06,1.3730380938913942e-05
region_Africa,2.8519174316891473e-05,3.622122923610738e-05
region_Asia,-3.5759388980890115e-05,5.4172668758772395e-05
region_Europe,3.721814396755452e-05,4.4922444766163604e-05
region_North America,4.486893802163235e-05,3.493080007184096e-05
region_Oceania,4.499692719350061e-05,8.230381955800784e-05
region_South America,7.733290514705763e-05,6.569066308301264e-05
industry_Agriculture,4.031192216057781e-05,3.658496317379832e-05
industry_Consulting,2.091398456753879e-05,4.8109631287160245e-05
industry_Education,3.947141888211991e-05,3.889166007294148e-05
industry_Finance,0.0001930791284461275,4.7551802675831014e-05
industry_Healthcare,-3.245437386552771e-05,4.3441142969727406e-05
industry_Logistics,2.8194490231614467e-06,2.0610318180057196e-05
industry_Manufacturing,4.257594808815638e-05,6.856076679577788e-05
industry_Retail,7.284769817841318e-05,5.8923696490738616e-05
industry_Technology,0.00028499898147757994,6.576546647842371e-05
company_size_Enterprise,0.0002552597840150902,9.999611796113437e-05
company_size_SME,0.00046314938108723186,0.00017806926027588192
company_size_Startup,0.0003067039693183634,0.00010718402697715465
company_age_group_0-5 years,-2.262901900006072e-05,5.246023134157399e-05
company_age_group_16-30 years,0.00013199538608836084,8.955732791700458e-05
company_age_group_30+ years,5.817017158765333e-05,3.124389162278975e-05
company_age_group_6-15 years,3.1419575084938128e-06,4.0164994249802663e-05
ai_primary_tool_ChatGPT,6.052964552553478e-06,6.990235035390821e-05
ai_primary_tool_Claude,3.08321279833453e-05,5.803170233539982e-05
ai_primary_tool_Custom Internal AI,-1.1156906821304287e-05,4.4083665174038264e-05
ai_primary_tool_Gemini,3.7523701555697284e-05,4.921084781929734e-05
ai_primary_tool_GitHub Copilot,2.7882180214648202e-05,4.8798073296407114e-05
ai_primary_tool_Other,1.449032258689087e-05,4.4734611360158396e-05
ai_use_case_Customer Support,3.19077788226559e-05,3.116944735340189e-05
ai_use_case_Fraud Detection,8.336944652564959e-05,3.5646069889337424e-05
ai_use_case_HR Automation,-1.1834213293767289e-05,5.1227173297860074e-05
ai_use_case_Marketing Automation,4.212830475140983e-05,5.812138883190531e-05
ai_use_case_Medical Diagnostics,1.0701854290566063e-05,1.4360544633399308e-05
ai_use_case_Predictive Maintenance,-7.11844401417953e-05,6.141828129483897e-05
ai_use_case_Software Development,-5.273368029813004e-05,2.8954430224235338e-05
ai_use_case_Supply Chain Optimization,1.5763243380477e-05,4.067100526589119e-05
data_privacy_level_High,3.331685771582974e-05,3.964042015206557e-05
data_privacy_level_Low,6.989211573636597e-05,4.7860661184460615e-05
data_privacy_level_Medium,7.529006966279598e-05,5.911328313453386e-05
ai_ethics_committee_No,-7.29255697400936e-05,8.68939568465829e-05
ai_ethics_committee_Yes,-8.303814759477538e-05,7.262430332973163e-05
